date,start_time,end_time,event_name,event_type,target_key,venue_station_id,expected_attendance,source,source_url,notes
2024-04-20,18:00,21:00,Knicks vs 76ers (ECR1 G1),Sports-NBA,msg_penn,318,19812,wikipedia.org,https://en.wikipedia.org/wiki/2024_NBA_playoffs,1st round
2024-04-22,19:30,22:00,Knicks vs 76ers (ECR1 G2),Sports-NBA,msg_penn,318,19812,wikipedia.org,https://en.wikipedia.org/wiki/2024_NBA_playoffs,
2024-04-30,19:30,22:00,Knicks vs 76ers (ECR1 G5),Sports-NBA,msg_penn,318,19812,wikipedia.org,https://en.wikipedia.org/wiki/2024_NBA_playoffs,Knicks clinched 4-2
2024-05-06,19:30,22:00,Knicks vs Pacers (ECSF G1),Sports-NBA,msg_penn,318,19812,wikipedia.org,https://en.wikipedia.org/wiki/2024_NBA_playoffs,2nd round
2024-05-08,19:30,22:00,Knicks vs Pacers (ECSF G2),Sports-NBA,msg_penn,318,19812,wikipedia.org,https://en.wikipedia.org/wiki/2024_NBA_playoffs,
2024-05-14,19:30,22:00,Knicks vs Pacers (ECSF G5),Sports-NBA,msg_penn,318,19812,wikipedia.org,https://en.wikipedia.org/wiki/2024_NBA_playoffs,
2024-05-19,15:30,18:00,Knicks vs Pacers (ECSF G7),Sports-NBA,msg_penn,318,19812,wikipedia.org,https://en.wikipedia.org/wiki/2024_NBA_playoffs,series finale - Pacers won 4-3
2024-04-21,15:00,17:30,Rangers vs Capitals (R1 G1),Sports-NHL,msg_penn,318,18006,wikipedia.org,https://en.wikipedia.org/wiki/2024_Stanley_Cup_playoffs,
2024-04-23,19:00,21:30,Rangers vs Capitals (R1 G2),Sports-NHL,msg_penn,318,18006,wikipedia.org,https://en.wikipedia.org/wiki/2024_Stanley_Cup_playoffs,
2024-05-05,15:00,17:30,Rangers vs Hurricanes (R2 G1),Sports-NHL,msg_penn,318,18006,wikipedia.org,https://en.wikipedia.org/wiki/2024_Stanley_Cup_playoffs,2nd round
2024-05-07,19:00,21:30,Rangers vs Hurricanes (R2 G2),Sports-NHL,msg_penn,318,18006,wikipedia.org,https://en.wikipedia.org/wiki/2024_Stanley_Cup_playoffs,
2024-05-13,19:00,21:30,Rangers vs Hurricanes (R2 G5),Sports-NHL,msg_penn,318,18006,wikipedia.org,https://en.wikipedia.org/wiki/2024_Stanley_Cup_playoffs,Rangers clinched 4-2
2024-05-22,20:00,22:30,Rangers vs Panthers (ECF G1),Sports-NHL,msg_penn,318,18006,wikipedia.org,https://en.wikipedia.org/wiki/2024_Stanley_Cup_playoffs,conference finals
2024-05-24,20:00,22:30,Rangers vs Panthers (ECF G2),Sports-NHL,msg_penn,318,18006,wikipedia.org,https://en.wikipedia.org/wiki/2024_Stanley_Cup_playoffs,
2024-05-30,20:00,22:30,Rangers vs Panthers (ECF G5),Sports-NHL,msg_penn,318,18006,wikipedia.org,https://en.wikipedia.org/wiki/2024_Stanley_Cup_playoffs,Rangers eliminated next game in FLA
2024-10-05,18:00,21:00,Yankees vs Royals (ALDS G1),Sports-MLB,yankee,604,47399,wikipedia.org,https://en.wikipedia.org/wiki/2024_American_League_Division_Series,
2024-10-07,18:30,21:30,Yankees vs Royals (ALDS G2),Sports-MLB,yankee,604,47399,wikipedia.org,https://en.wikipedia.org/wiki/2024_American_League_Division_Series,
2024-10-14,20:00,23:00,Yankees vs Guardians (ALCS G1),Sports-MLB,yankee,604,47399,wikipedia.org,https://en.wikipedia.org/wiki/2024_American_League_Championship_Series,
2024-10-15,19:30,22:30,Yankees vs Guardians (ALCS G2),Sports-MLB,yankee,604,47399,wikipedia.org,https://en.wikipedia.org/wiki/2024_American_League_Championship_Series,
2024-10-28,20:00,23:30,Yankees vs Dodgers (WS G3),Sports-MLB,yankee,604,49263,wikipedia.org,https://en.wikipedia.org/wiki/2024_World_Series,World Series at Yankee Stadium
2024-10-29,20:00,23:30,Yankees vs Dodgers (WS G4),Sports-MLB,yankee,604,49263,wikipedia.org,https://en.wikipedia.org/wiki/2024_World_Series,
2024-10-30,20:00,23:30,Yankees vs Dodgers (WS G5),Sports-MLB,yankee,604,49263,wikipedia.org,https://en.wikipedia.org/wiki/2024_World_Series,Dodgers clinched in NY
2024-10-08,18:00,21:00,Mets vs Phillies (NLDS G3),Sports-MLB,mets,448,44321,wikipedia.org,https://en.wikipedia.org/wiki/2024_National_League_Division_Series,
2024-10-09,18:00,21:00,Mets vs Phillies (NLDS G4),Sports-MLB,mets,448,44321,wikipedia.org,https://en.wikipedia.org/wiki/2024_National_League_Division_Series,Mets clinched 3-1
2024-10-16,20:00,23:00,Mets vs Dodgers (NLCS G3),Sports-MLB,mets,448,44321,wikipedia.org,https://en.wikipedia.org/wiki/2024_National_League_Championship_Series,
2024-10-17,20:00,23:00,Mets vs Dodgers (NLCS G4),Sports-MLB,mets,448,44321,wikipedia.org,https://en.wikipedia.org/wiki/2024_National_League_Championship_Series,
2024-10-18,20:00,23:00,Mets vs Dodgers (NLCS G5),Sports-MLB,mets,448,44321,wikipedia.org,https://en.wikipedia.org/wiki/2024_National_League_Championship_Series,
